Date,AAPL,GOOGL,MSFT,SPY,TLT,TSLA
2023-01-04,0.01031416310841271,-0.011669603216067137,-0.043743179587024894,0.007720323672035567,0.01369998158038288,0.05124885285593783
2023-01-05,-0.01060473360378178,-0.021344277183062976,-0.02963780703959973,-0.011413505670104795,0.004181175944257598,-0.029039097760312105
2023-01-06,0.03679390341943378,0.013225097668659869,0.01178535287853344,0.02293206172321094,0.01839624421512087,0.024651090365942707
2023-01-09,0.004089072093891755,0.007785614145983777,0.009736609487748682,-0.0005669160551935448,0.0053243247081475875,0.059349011404278285
2023-01-10,0.004456401385071418,0.004544453790032987,0.007617059781492408,0.007012956100391099,-0.016550039849829834,-0.007681374256751861
2023-01-11,0.02111243941190888,0.03505992665753643,0.03023805165902127,0.012647873082344052,0.016251517504485502,0.036769060182475055
2023-01-12,-0.0005991843249482098,-0.004261385231156711,0.011621589330220505,0.003640761113158808,0.019682217696547433,0.0027592625752506095
2023-01-13,0.010119097169130287,0.01086366971353403,0.0030187348380368295,0.00387931868715774,-0.00937264918005154,-0.009388119582672827
2023-01-17,0.008756057352457214,-0.009010075012055863,0.00468166249370916,-0.0018318631053179102,-0.006463775099419755,0.07426473736900463
2023-01-18,-0.005369986730561105,-0.0018621853188897086,-0.018889325424044312,-0.01578793118888,0.024231369746259945,-0.020609982513142944
2023-01-19,0.0004439007916670068,0.021181035450736685,-0.016453790152492043,-0.007279926607129394,-0.006259530969422444,-0.012501946153228194
2023-01-20,0.01922067744586431,0.053411826771730286,0.03574360085683659,0.018629237789514086,-0.016211297808799596,0.0491468120625187
2023-01-23,0.02350041224950039,0.018057724174654677,0.009824299742309917,0.0119984211358648,-0.0047080779864131506,0.07742468874848996
2023-01-24,0.010063176538668506,-0.020943890540372934,-0.0022260651144816457,-0.0010731939171784166,0.01438019874222296,0.0009739087975544347
2023-01-25,-0.0047009228296864825,-0.025383830702600862,-0.005908041066781999,0.00037466886269310606,0.002425000370299246,0.003752820129427681
